Nom,Prix,Catégorie,Note,Nb_avis,En_stock,Lien,Site
PC PORTABLE ASUS I5-1342H-8-512-156W11-BLEU,1539.0,Informatique,,,Oui,https://fnac.tn/pc-portable/10600-pc-portable-asus-i5-1342h-8-512-156w11-bleu-4711387856345.html,Fnac
PC Portable ASUS I7-13620H-16G-1TSSD-14-SILVER,2759.0,Informatique,,,Oui,https://fnac.tn/pc-portable/34299-pc-portable-asus-i7-13620h-16g-1tssd-14-silver-4711387973745.html,Fnac
PC Portable ASUS I9-13900H-8G-512SSD-WIN-SILVER,2129.0,Informatique,,,Oui,https://fnac.tn/pc-portable/34297-pc-portable-asus-i9-13900h-8g-512ssd-win-silver-4711636145824.html,Fnac
PC Portable ASUS TUF R7-7435HS-8G-512 SSD-RTX 2050,2299.0,Informatique,,,Oui,https://fnac.tn/pc-portable/10525-pc-portable-asus-tuf-r7-7435hs-8g-512-ssd-rtx-2050-4711387780336.html,Fnac
PC Portable ASUS U5-120U-8G-512SSD-15.6P-SILVER-,1739.0,Informatique,,,Oui,https://fnac.tn/pc-portable/34298-pc-portable-asus-u5-120u-8g-512ssd-156p-silver--4711387773253.html,Fnac
PC PORTABLE AUS I3-1315U -8G -512SSD -WIN BLEU,1199.0,Informatique,,,Oui,https://fnac.tn/pc-portable/35113-pc-portable-aus-i3-1315u-8g-512ssd-win-bleu-4711636049078.html,Fnac
Pc Portable DELL Vostro 3520 15.6 I5-1235U 8GB 512,1359.0,Informatique,,,Oui,https://fnac.tn/pc-portable/31169-pc-portable-dell-vostro-3520-156-i5-1235u-8gb-512-3311387448004.html,Fnac
PC Portable DELL Vostro I5-1334U 8G 512SS 156,1489.0,Informatique,,,Oui,https://fnac.tn/pc-portable/35102-pc-portable-dell-vostro-i5-1334u-8g-512ss-156-9210000018290.html,Fnac
PC Portable DELLVostro I7-1355U 8G 512 SSD 156,1899.0,Informatique,,,Oui,https://fnac.tn/pc-portable/35103-pc-portable-dellvostro-i7-1355u-8g-512-ssd-156-9210000018306.html,Fnac
PC PORTABLE ENVY-15-fe0001nkI7-1355U16G512SD,3799.0,Informatique,,,Oui,https://fnac.tn/pc-portable/12217-pc-portable-envy-15-fe0001nki7-1355u16g512sd-197497477146.html,Fnac
PC PORTABLE Experbook I5-13420H-8G-512SDD- GREY,1599.0,Informatique,,,Oui,https://fnac.tn/pc-portable/35114-pc-portable-experbook-i5-13420h-8g-512sdd-grey-4711636088244.html,Fnac
Pc Portable GAMER Lenovo LOQ I7/16GO/RTX3050,4024.4,Informatique,,,Oui,https://fnac.tn/pc-portable/32431-pc-portable-gamer-lenovo-loq-i7-16go-rtx3050-197531806741.html,Fnac
Pc Portable Gamer MSI Cyborg I7-8G-512SSD-8GRTX406,3399.0,Informatique,,,Oui,https://fnac.tn/pc-portable/10553-pc-portable-gamer-msi-cyborg-i7-8g-512ssd-8grtx406-4711377260046.html,Fnac
Pc Portable Gamer MSI Thin 15 i7-8G-512SSD- 4G RTX,2569.0,Informatique,,,Oui,https://fnac.tn/pc-portable/10554-pc-portable-gamer-msi-thin-15-i7-8g-512ssd-4g-rtx-4711377260022.html,Fnac
PC PORTABLE HP 250G10 i5-1334U 8GB/512 SAC,1599.0,Informatique,,,Oui,https://fnac.tn/pc-portable/35105-pc-portable-hp-250g10-i5-1334u-8gb-512-sac-198990229638.html,Fnac
Pc Portable HP AMD R5/8GO/512SSD-SILVER,1399.0,Informatique,,,Oui,https://fnac.tn/pc-portable/3338-pc-portable-hp-amd-r5-8go-512ssd-silver-197497722185.html,Fnac
PC PORTABLE HP HP15-fd0079nk AB1T5EA,1949.0,Informatique,,,Oui,https://fnac.tn/pc-portable/12222-pc-portable-hp-hp15-fd0079nk-ab1t5ea-198701024965.html,Fnac
PC PORTABLE HP HP15-fd0080nk AB1T6EA,1949.0,Informatique,,,Oui,https://fnac.tn/pc-portable/12223-pc-portable-hp-hp15-fd0080nk-ab1t6ea-198701024972.html,Fnac
PC Portable HP Victus I5 13420H 8G 512SD 4G 2050 W1,2819.2,Informatique,,,Oui,https://fnac.tn/pc-portable/3380-pc-portable-hp-victus-i513420h8g512sd4g2050w1.html,Fnac
PC PORTABLE HP15-fd0298nk A30XQEA,729.0,Informatique,,,Oui,https://fnac.tn/pc-portable/12221-pc-portable-hp15-fd0298nk-a30xqea-198415049483.html,Fnac
PC PORTABLE HP15-fd0311nk A2AR3EA,2999.0,Informatique,,,Oui,https://fnac.tn/pc-portable/12218-pc-portable-hp15-fd0311nk-a2ar3ea-198122957781.html,Fnac
Pc Portable HP15fd0286nk-I7-1355U_8GB_512SD_SILVER,2498.7,Informatique,,,Oui,https://fnac.tn/pc-portable/3359-pc-portable-hp15fd0286nk-i7-1355u8gb512sdsilver.html,Fnac
PC Portable lenovo FLEX 5 R77730U16G512SSDW11,2659.0,Informatique,,,Oui,https://fnac.tn/pc-portable/34302-pc-portable-lenovo-flex-5-r77730u16g512ssdw11-197532982291.html,Fnac
PC PORTABLE LENOVO Ideapad 1 82VG00NXFG Ryzen 5 / 16 Go / 512SSD / W11,1379.0,Informatique,,,Oui,https://fnac.tn/pc-portable/12558-pc-portable-lenovo-82vg00nxfg-r5-16-512-w11-sac-198153346776.html,Fnac
